CPDBID,Name/Model,Era,Year,"Technology Base",Chassis,"Rules Level (Current)",Tonnage,Designer,"Battle Value",Cost,Rating
4184,"Men Shen MS1-OE",Jihad,3070,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1625,16255625,-----
4185,"Men Shen MS1-OF",Jihad,3076,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1648,16843656,-----
4958,"Men Shen MS1-OG","Dark Age",3134,"Inner Sphere",Biped,Advanced,55,"Catalyst Game Labs",2267,17839531,-----
4734,"Men Shen MS1-OU",Jihad,3077,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1725,17502406,-----
3284,"Mercury II MCY-100","Early Succession Wars",2823,"Inner Sphere",Biped,"Tournament Legal",40,"Catalyst Game Labs",1376,7924513,-----
477,"Mercury MCY-102","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal (Extinct)",20,"Catalyst Game Labs",510,2711740,2.888889
3872,"Mercury MCY-104",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal (Extinct)",20,"Catalyst Game Labs",683,3659740,-----
224,"Mercury MCY-97","Late Succession Wars",3049,"Inner Sphere",Biped,"Tournament Legal",20,"Catalyst Game Labs",466,1974940,2.812500
127,"Mercury MCY-98","Early Succession Wars",2810,"Inner Sphere",Biped,Introductory,20,"Catalyst Game Labs",553,1580440,3.447368
225,"Mercury MCY-99","Star League",2742,"Inner Sphere",Biped,"Tournament Legal",20,"Catalyst Game Labs",586,1796440,2.937500
627,"Merlin MLN-1A","Late Succession Wars",3010,"Inner Sphere",Biped,Introductory,60,"Catalyst Game Labs",1217,4911200,4.000000
628,"Merlin MLN-1B","Clan Invasion",3053,"Inner Sphere",Biped,Introductory,60,"Catalyst Game Labs",1228,4906400,3.833333
3648,"Merlin MLN-1B (Porter)","Civil War",3064,"Inner Sphere",Biped,Introductory,60,"Catalyst Game Labs",1233,4817600,-----
2879,"Merlin MLN-1C",Jihad,3068,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1267,5034400,-----
3934,"Merlin MLN-SX",Jihad,3075,"Inner Sphere",Biped,"Experimental (Extinct)",60,"Catalyst Game Labs",1181,11227200,-----
3329,"Mjolnir MLR-B2",Jihad,3077,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",670,2600313,-----
4508,"Mjolnir MLR-BX",Jihad,3078,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",612,3758750,-----
4446,"Mongoose Gunslinger MON-66GX","Star League",2766,"Inner Sphere",Biped,Experimental,25,"Catalyst Game Labs",887,5890417,-----
3212,"Mongoose II MON-266",Jihad,3073,"Inner Sphere",Biped,"Tournament Legal (Extinct)",40,"Catalyst Game Labs",1085,10155227,-----
4458,"Mongoose II MON-267",Jihad,3073,"Inner Sphere",Biped,"Tournament Legal",40,"Catalyst Game Labs",1237,9840227,-----
4459,"Mongoose II MON-268",Jihad,3076,"Inner Sphere",Biped,"Tournament Legal",40,"Catalyst Game Labs",1215,11093227,-----
255,"Mongoose MON-66","Star League",2660,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",758,2229479,3.900000
4365,"Mongoose MON-66b","Star League",2740,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",934,3754479,-----
204,"Mongoose MON-67","Early Succession Wars",2830,"Inner Sphere",Biped,Introductory,25,"Catalyst Game Labs",741,1885729,4.684211
4098,"Mongoose MON-68","Late Succession Wars",3039,"Inner Sphere",Biped,Introductory,25,"Catalyst Game Labs",676,1794583,-----
3874,"Mongoose MON-69","Early Succession Wars",2819,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",737,1979479,-----
3875,"Mongoose MON-70","Early Succession Wars",2819,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",750,1984167,-----
1106,"Mongoose MON-76",Jihad,3077,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",894,3879479,3.083333
4704,"Mongoose MON-86",Jihad,3078,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",887,4214375,-----
3487,"Mongrel MGL-T1",Republic,3092,"Clan (Mixed)",Biped,Advanced,50,"Catalyst Game Labs",1860,10917250,-----
4428,"Mongrel MGL-T2",Republic,3108,Clan,Biped,Advanced,50,"Catalyst Game Labs",1949,11329750,-----
3138,"Morpheus MR-P1","Clan Invasion",3051,"Inner Sphere",Biped,"Tournament Legal",65,"Catalyst Game Labs",1340,16317510,-----
2933,"Morpheus MRP-3S","Civil War",3062,"Inner Sphere",Biped,Advanced,65,"Catalyst Game Labs",1437,16210755,-----
3229,"Morpheus MRP-3T","Civil War",3064,"Inner Sphere",Biped,Advanced,65,"Catalyst Game Labs",1925,16718460,-----
3303,"Morpheus MRP-3W","Civil War",3066,"Inner Sphere",Biped,Advanced,65,"Catalyst Game Labs",1299,16064730,-----
3352,Morrigan,Jihad,3083,Clan,Biped,"Tournament Legal",35,"Catalyst Game Labs",1523,6584130,-----
4556,"Morrigan 2",Jihad,3084,Clan,Biped,"Tournament Legal",35,"Catalyst Game Labs",1874,6331680,-----
4557,"Morrigan 3",Jihad,3085,"Clan (Mixed)",Biped,Advanced,35,"Catalyst Game Labs",1390,6372180,-----
4895,"Morrigan 4",Republic,3111,"Clan (Mixed)",Biped,Advanced,35,"Catalyst Game Labs",2063,6954705,-----
4896,"Morrigan 5",Republic,3124,Clan,Biped,"Tournament Legal",35,"Catalyst Game Labs",1904,6341130,-----
3524,"Mortis MS-1A",Republic,3109,"Inner Sphere",Biped,Advanced,75,"Catalyst Game Labs",1834,18308500,-----
4523,"Mortis MS-1P",Republic,3122,"Inner Sphere",Biped,Advanced,75,"Catalyst Game Labs",2198,19953500,-----
2416,"Naga A","Late Succession Wars",2945,Clan,Biped,Advanced,80,"Catalyst Game Labs",1988,26632312,4.500000
2417,"Naga B","Late Succession Wars",2945,Clan,Biped,Advanced,80,"Catalyst Game Labs",2021,26812312,3.000000
2418,"Naga C","Late Succession Wars",2945,Clan,Biped,Advanced,80,"Catalyst Game Labs",1805,26477625,2.500000
2419,"Naga D","Late Succession Wars",2945,Clan,Biped,Advanced,80,"Catalyst Game Labs",1860,26587312,2.250000
2415,"Naga PRIME","Late Succession Wars",2945,Clan,Biped,Advanced,80,"Catalyst Game Labs",1840,26322937,2.600000
2414,"Naga [BASE]","Late Succession Wars",2945,Clan,Biped,"Tournament Legal",80,"Catalyst Game Labs",808,23997000,-----
706,"Naginata NG-C3A","Clan Invasion",3055,"Inner Sphere",Biped,"Tournament Legal",95,"Catalyst Game Labs",1954,12559170,4.100000
4838,"Naginata NG-C3Ar",Jihad,3076,"Inner Sphere",Biped,Advanced,95,"Catalyst Game Labs",1879,15854670,-----
3069,"Naginata NG-C3B","Civil War",3063,"Inner Sphere",Biped,"Tournament Legal",95,"Catalyst Game Labs",1943,15515858,-----
3070,"Naginata NG-C3C","Civil War",3066,"Inner Sphere",Biped,"Tournament Legal",95,"Catalyst Game Labs",2131,10455120,-----
3537,"Neanderthal NTL-AG",Republic,3128,"Inner Sphere",Biped,Advanced,80,"Catalyst Game Labs",2024,23439840,-----
4355,"Neanderthal NTL-UG",Republic,3124,"Inner Sphere",Biped,"Tournament Legal",80,"Catalyst Game Labs",1817,22492140,-----
2771,"Nexus II NXS2-A","Civil War",3066,"Inner Sphere",Biped,"Tournament Legal (Extinct)",25,"Catalyst Game Labs",702,4028125,-----
3087,"Nexus II NXS2-B","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal (Extinct)",25,"Catalyst Game Labs",717,4512500,-----
480,"Nexus NXS1-A","Clan Invasion",3054,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",643,2211458,0.687500
1107,"Nexus NXS1-B","Civil War",3062,"Inner Sphere",Biped,"Tournament Legal (Extinct)",25,"Catalyst Game Labs",715,3116146,2.142857
2409,"Night Gyr A","Clan Invasion",3052,Clan,Biped,"Tournament Legal",75,"Catalyst Game Labs",2680,20515469,4.000000
2410,"Night Gyr B","Clan Invasion",3052,Clan,Biped,"Tournament Legal",75,"Catalyst Game Labs",2140,20189531,1.000000
2411,"Night Gyr C","Clan Invasion",3052,Clan,Biped,"Tournament Legal",75,"Catalyst Game Labs",2468,20202656,1.750000
2412,"Night Gyr D","Clan Invasion",3052,Clan,Biped,"Tournament Legal",75,"Catalyst Game Labs",2889,21687969,4.250000
2665,"Night Gyr E","Clan Invasion",3061,Clan,Biped,"Tournament Legal",75,"Catalyst Game Labs",2717,20191719,3.750000
3694,"Night Gyr F",Jihad,3069,Clan,Biped,"Tournament Legal",75,"Catalyst Game Labs",2958,20977031,-----
2666,"Night Gyr H","Civil War",3062,Clan,Biped,"Tournament Legal",75,"Catalyst Game Labs",2428,20648906,-----
2408,"Night Gyr PRIME","Clan Invasion",3052,Clan,Biped,"Tournament Legal",75,"Catalyst Game Labs",2830,20513281,4.333333
2407,"Night Gyr [BASE]","Clan Invasion",3052,Clan,Biped,"Tournament Legal",75,"Catalyst Game Labs",962,17892656,-----
505,"Night Hawk NTK-2Q","Star League",2656,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",997,5126625,2.800000
3706,"Night Hawk NTK-2S","Clan Invasion",3059,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",1017,5577525,-----
4492,"Night Stalker NSR-K1","Dark Age",3134,"Inner Sphere",Biped,Advanced,40,"Catalyst Game Labs",1149,9015627,-----
3475,"Night Stalker NSR-K3","Dark Age",3137,"Inner Sphere",Biped,Advanced,40,"Catalyst Game Labs",1028,8955777,-----
4493,"Night Stalker NSR-K4","Dark Age",3136,"Inner Sphere",Biped,Advanced,40,"Catalyst Game Labs",1159,9122027,-----
4494,"Night Stalker NSR-K7","Dark Age",3136,"Inner Sphere",Biped,Advanced,40,"Catalyst Game Labs",844,9360377,-----
4495,"Night Stalker NSR-KC","Dark Age",3136,"Inner Sphere",Biped,Advanced,40,"Catalyst Game Labs",1037,9253627,-----
3377,"Night Wolf",Jihad,3084,Clan,Biped,"Tournament Legal",90,"Catalyst Game Labs",2878,24329500,-----
591,"Nightsky NGS-4S","Clan Invasion",3053,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1159,9420000,3.375000
770,"Nightsky NGS-4T","Clan Invasion",3056,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1287,9624375,3.166667
771,"Nightsky NGS-5S","Clan Invasion",3056,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1045,8907000,1.666667
772,"Nightsky NGS-5T","Clan Invasion",3057,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1356,9607500,3.750000
2993,"Nightsky NGS-6S","Civil War",3066,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1474,8293500,-----
4730,"Nightsky NGS-6T","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1462,13121250,-----
707,"Nightstar NSR-9FC","Clan Invasion",3057,"Inner Sphere",Biped,"Tournament Legal",95,"Catalyst Game Labs",1929,25618840,3.000000
708,"Nightstar NSR-9J","Star League",2767,"Inner Sphere",Biped,"Tournament Legal",95,"Catalyst Game Labs",2399,19886978,4.125000
4123,"Nightstar NSR-9J (Brubaker)","Clan Invasion",3057,"Inner Sphere (Mixed)",Biped,"Tournament Legal",95,"Catalyst Game Labs",2838,20091728,-----
6186,"Nightstar NSR-9J (Holt)","Civil War",3067,"Inner Sphere (Mixed)",Biped,"Tournament Legal",95,"Catalyst Game Labs",3433,24383678,-----
3729,"Nightstar NSR-9SS","Civil War",3065,"Inner Sphere",Biped,"Tournament Legal",95,"Catalyst Game Labs",2145,20835263,-----
1010,"Ninja-To NJT-2","Civil War",3062,"Inner Sphere",Biped,"Tournament Legal",65,"Catalyst Game Labs",1527,16072650,3.375000
1011,"Ninja-To NJT-3",Jihad,3068,"Inner Sphere",Biped,"Tournament Legal",65,"Catalyst Game Labs",1605,15915900,3.000000
4290,"Ninja-To NJT-4",Jihad,3075,"Inner Sphere",Biped,"Tournament Legal",65,"Catalyst Game Labs",1762,16475250,-----
1028,"No-Dachi NDA-1K","Clan Invasion",3058,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1708,17520087,4.000000
1029,"No-Dachi NDA-2K","Clan Invasion",3059,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1739,17798462,4.250000
4816,"No-Dachi NDA-2KC","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1705,17993962,-----
1030,"No-Dachi NDA-2KO","Clan Invasion",3060,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1728,17704962,4.000000
4296,"No-Dachi NDA-3S",Jihad,3081,"Inner Sphere",Biped,Advanced,70,"Catalyst Game Labs",1706,18308462,-----
3973,"No-Dachi NDA-3X",Jihad,3075,"Inner Sphere (Mixed)",Biped,Advanced,70,"Catalyst Game Labs",2609,23990712,-----
2372,"Nobori-nin (Huntsman) A","Clan Invasion",3058,Clan,Biped,"Tournament Legal",50,"Catalyst Game Labs",2034,11274062,3.250000
2373,"Nobori-nin (Huntsman) B","Clan Invasion",3058,Clan,Biped,"Tournament Legal",50,"Catalyst Game Labs",2156,11678125,3.875000
2374,"Nobori-nin (Huntsman) C","Clan Invasion",3058,Clan,Biped,"Tournament Legal",50,"Catalyst Game Labs",2199,11835156,2.166667
2648,"Nobori-nin (Huntsman) D","Clan Invasion",3060,Clan,Biped,"Tournament Legal",50,"Catalyst Game Labs",2007,11223437,2.500000
3686,"Nobori-nin (Huntsman) E",Jihad,3070,Clan,Biped,"Tournament Legal",50,"Catalyst Game Labs",2104,11528594,-----
4948,"Nobori-nin (Huntsman) F","Dark Age",3132,"Clan (Mixed)",Biped,Advanced,50,"Catalyst Game Labs",2367,12660625,-----
2649,"Nobori-nin (Huntsman) H","Clan Invasion",3060,Clan,Biped,"Tournament Legal",50,"Catalyst Game Labs",2495,12345625,4.000000
2890,"Nobori-nin (Huntsman) N",Jihad,3068,Clan,Biped,"Tournament Legal",50,"Catalyst Game Labs",2556,11482187,-----
2371,"Nobori-nin (Huntsman) PRIME","Clan Invasion",3058,Clan,Biped,"Tournament Legal",50,"Catalyst Game Labs",2108,12415000,2.375000
2370,"Nobori-nin (Huntsman) [BASE]","Clan Invasion",3058,Clan,Biped,"Tournament Legal",50,"Catalyst Game Labs",791,9934375,-----
4943,"Notos A","Dark Age",3145,Clan,QuadVee,Advanced,60,"Catalyst Game Labs",1469,20671000,-----
4944,"Notos B","Dark Age",3145,Clan,QuadVee,Advanced,60,"Catalyst Game Labs",1788,21056000,-----
4945,"Notos C","Dark Age",3145,Clan,QuadVee,Advanced,60,"Catalyst Game Labs",1572,22428000,-----
4946,"Notos D","Dark Age",3145,Clan,QuadVee,Advanced,60,"Catalyst Game Labs",1777,20574400,-----
4942,"Notos PRIME","Dark Age",3145,Clan,QuadVee,Advanced,60,"Catalyst Game Labs",2139,28644000,-----
4941,"Notos [BASE]","Dark Age",3145,Clan,QuadVee,Advanced,60,"Catalyst Game Labs",928,19348000,-----
2601,"Nova Cat A","Clan Invasion",3060,Clan,Biped,"Tournament Legal",70,"Catalyst Game Labs",2629,17383917,4.800000
2602,"Nova Cat B","Clan Invasion",3060,Clan,Biped,"Tournament Legal",70,"Catalyst Game Labs",2492,17791917,4.000000
2603,"Nova Cat C","Clan Invasion",3060,Clan,Biped,"Tournament Legal",70,"Catalyst Game Labs",1944,17207754,2.750000
2604,"Nova Cat D","Clan Invasion",3060,Clan,Biped,"Tournament Legal",70,"Catalyst Game Labs",2084,17715417,2.700000
2662,"Nova Cat E","Clan Invasion",3060,Clan,Biped,"Tournament Legal",70,"Catalyst Game Labs",2191,17492292,3.750000
4229,"Nova Cat F",Jihad,3070,Clan,Biped,"Tournament Legal",70,"Catalyst Game Labs",2706,19296417,-----
4230,"Nova Cat G",Jihad,3072,Clan,Biped,"Tournament Legal",70,"Catalyst Game Labs",2522,18595167,-----
5043,"Nova Cat H",Republic,3099,Clan,Biped,Advanced,70,"Catalyst Game Labs",2452,24523917,-----
5044,"Nova Cat I","Dark Age",3132,"Clan (Mixed)",Biped,Advanced,70,"Catalyst Game Labs",2918,20681917,-----
2600,"Nova Cat PRIME","Clan Invasion",3060,Clan,Biped,"Tournament Legal",70,"Catalyst Game Labs",2530,17672917,4.666667
2599,"Nova Cat [BASE]","Clan Invasion",3060,Clan,Biped,"Tournament Legal",70,"Catalyst Game Labs",913,14944417,-----
4885,"Nyx NX-100",Republic,3095,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",917,5476250,-----
4886,"Nyx NX-110","Dark Age",3141,"Inner Sphere",Biped,Advanced,30,"Catalyst Game Labs",764,6600750,-----
3330,"Nyx NX-80",Jihad,3076,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",924,5663125,-----
4509,"Nyx NX-80C",Jihad,3078,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",874,5966025,-----
4510,"Nyx NX-90",Jihad,3080,"Inner Sphere",Biped,Advanced,30,"Catalyst Game Labs",613,5202340,-----
680,"O-Bakemono OBK-M10","Clan Invasion",3058,"Inner Sphere",Biped,Advanced,80,"Catalyst Game Labs",1659,17985450,3.125000
2883,"O-Bakemono OBK-M11",Jihad,3068,"Inner Sphere",Biped,"Tournament Legal",80,"Catalyst Game Labs",1793,7594650,-----
2884,"O-Bakemono OBK-M12",Jihad,3070,"Inner Sphere",Biped,"Tournament Legal",80,"Catalyst Game Labs",1732,9823050,-----
2928,Ocelot,"Civil War",3067,Clan,Biped,"Tournament Legal",35,"Catalyst Game Labs",1439,5854410,-----
2929,"Ocelot 2",Jihad,3070,Clan,Biped,"Tournament Legal",35,"Catalyst Game Labs",1734,5697810,-----
4479,"Ocelot 3",Jihad,3075,Clan,Biped,"Tournament Legal",35,"Catalyst Game Labs",1594,6113610,-----
4897,"Ocelot 4",Republic,3096,Clan,Biped,"Tournament Legal",35,"Catalyst Game Labs",1468,5458860,-----
5278,"Omega SHP-X4",Jihad,3076,"Inner Sphere",Biped,"Advanced (Extinct)",150,"Catalyst Game Labs",3083,59362500,-----
2967,Omen,Republic,3087,Clan,Biped,"Tournament Legal",85,"Catalyst Game Labs",2750,17149500,-----
5118,"Omen 2","Dark Age",3141,Clan,Biped,Advanced,85,"Catalyst Game Labs",2380,18623950,-----
3378,Onager,Jihad,3083,Clan,Biped,"Tournament Legal",90,"Catalyst Game Labs",2732,10990930,-----
5143,"Onager 2","Dark Age",3150,Clan,Biped,Advanced,90,"Catalyst Game Labs",2847,10966230,-----
3139,"Onslaught SA-OS","Clan Invasion",3052,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1562,18536438,-----
2789,"Onslaught SA-OS2","Civil War",3062,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1693,19980188,-----
3140,"Onslaught SA-OS3","Civil War",3062,"Inner Sphere",Biped,Advanced,75,"Catalyst Game Labs",1659,18840938,-----
5279,"Orca OC-1X",Republic,3103,"Inner Sphere",Biped,Advanced,200,"Catalyst Game Labs",3467,97966000,-----
837,"Orion IIC","Early Succession Wars",2841,Clan,Biped,"Tournament Legal",75,"Catalyst Game Labs",2392,7992250,4.100000
3954,"Orion IIC (Burton)",Republic,3105,Clan,Biped,"Tournament Legal",75,"Catalyst Game Labs",2746,17412500,-----
4865,"Orion ON1-C","Age of War",2453,Primitive,Biped,"Advanced (Extinct)",75,"Catalyst Game Labs",973,6750625,-----
4866,"Orion ON1-H","Age of War",2456,Primitive,Biped,"Experimental (Extinct)",75,"Catalyst Game Labs",1307,5836250,-----
80,"Orion ON1-K","Age of War",2525,"Inner Sphere",Biped,Introductory,75,"Catalyst Game Labs",1429,6501250,4.071429
3838,"Orion ON1-K (Kerensky)","Star League",2753,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1821,7463750,-----
409,"Orion ON1-M","Late Succession Wars",3049,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1414,15314250,3.111111
3833,"Orion ON1-M-DC","Clan Invasion",3053,"Inner Sphere",Biped,Advanced,75,"Catalyst Game Labs",1444,16178750,-----
3834,"Orion ON1-MA","Clan Invasion",3052,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1501,15594250,-----
3835,"Orion ON1-MB","Clan Invasion",3058,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1472,15235500,-----
3836,"Orion ON1-MC","Clan Invasion",3058,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1501,15646750,-----
3837,"Orion ON1-MD","Civil War",3062,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1597,15095500,-----
81,"Orion ON1-V","Early Succession Wars",2799,"Inner Sphere",Biped,Introductory,75,"Catalyst Game Labs",1298,6553750,2.222222
4082,"Orion ON1-V-DC","Late Succession Wars",2913,"Inner Sphere",Biped,Advanced,75,"Catalyst Game Labs",1310,7428750,-----
82,"Orion ON1-VA","Late Succession Wars",2901,"Inner Sphere",Biped,Introductory,75,"Catalyst Game Labs",1328,6321000,3.000000
1210,"Orion ON2-M","Civil War",3063,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1828,7455000,3.600000
3422,"Orion ON3-M",Jihad,3083,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1826,15688750,-----
4007,"Orion ON3-MX",Jihad,3075,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1849,15522500,-----
3348,"Orochi OR-2I",Jihad,3084,"Inner Sphere",Biped,"Tournament Legal",90,"Catalyst Game Labs",2077,22802375,-----
1115,"Osiris OSR-3D","Civil War",3063,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",1138,5194800,2.833333
910,"Osiris OSR-4D","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",1230,5562700,4.000000
4267,"Osiris OSR-5D",Jihad,3081,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",1226,5127200,-----
4536,"Osprey OSP-15","Star League",2738,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1564,8835258,-----
4537,"Osprey OSP-25",Jihad,3074,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1630,9021258,-----
3339,"Osprey OSP-26",Jihad,3076,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1541,9154946,-----
3562,"Osprey OSP-26 (Lawrence)",Jihad,3085,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1461,11573333,-----
4745,"Osprey OSP-36","Dark Age",3139,"Inner Sphere",Biped,Advanced,55,"Catalyst Game Labs",1450,9835008,-----
3615,"Osteon (Jaguar)",Jihad,3072,Clan,Biped,"Experimental (Extinct)",85,"Catalyst Game Labs",2528,26226178,-----
3608,"Osteon A",Jihad,3072,Clan,Biped,"Experimental (Extinct)",85,"Catalyst Game Labs",2291,26650406,-----
3609,"Osteon B",Jihad,3072,"Clan (Mixed)",Biped,"Experimental (Extinct)",85,"Catalyst Game Labs",2625,28792013,-----
3610,"Osteon C",Jihad,3072,Clan,Biped,"Experimental (Extinct)",85,"Catalyst Game Labs",3139,27636919,-----
3611,"Osteon D",Jihad,3072,Clan,Biped,"Experimental (Extinct)",85,"Catalyst Game Labs",2587,25452763,-----
3612,"Osteon E",Jihad,3072,Clan,Biped,"Experimental (Extinct)",85,"Catalyst Game Labs",2762,26516281,-----
3613,"Osteon F",Jihad,3072,Clan,Biped,"Experimental (Extinct)",85,"Catalyst Game Labs",2716,26011000,-----
3614,"Osteon G",Jihad,3072,Clan,Biped,"Experimental (Extinct)",85,"Catalyst Game Labs",2388,26733656,-----
4284,"Osteon PRIME",Jihad,3072,Clan,Biped,"Experimental (Extinct)",85,"Catalyst Game Labs",3073,29554906,-----
3634,"Osteon U",Jihad,3072,Clan,Biped,"Experimental (Extinct)",85,"Catalyst Game Labs",2647,29203406,-----
3607,"Osteon [BASE]",Jihad,3072,Clan,Biped,"Experimental (Extinct)",85,"Catalyst Game Labs",1580,23658031,-----
115,"Ostroc OSR-2C","Age of War",2511,"Inner Sphere",Biped,Introductory,60,"Catalyst Game Labs",1228,4982400,2.937500
3998,"Ostroc OSR-2C (Michi)","Late Succession Wars",3028,"Inner Sphere",Biped,Introductory,60,"Catalyst Game Labs",1321,4992960,-----
4373,"Ostroc OSR-2Cb","Star League",2729,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1478,5532160,-----
353,"Ostroc OSR-2D","Clan Invasion",3050,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1306,5317760,1.562500
116,"Ostroc OSR-2L","Early Succession Wars",2884,"Inner Sphere",Biped,Introductory,60,"Catalyst Game Labs",1233,4934400,3.312500
117,"Ostroc OSR-2M","Early Succession Wars",2793,"Inner Sphere",Biped,Introductory,60,"Catalyst Game Labs",1239,5238400,2.571429
118,"Ostroc OSR-3C","Early Succession Wars",2876,"Inner Sphere",Biped,Introductory,60,"Catalyst Game Labs",1288,4918400,2.000000
991,"Ostroc OSR-4C","Civil War",3066,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1322,5189760,2.500000
4653,"Ostroc OSR-4K",Jihad,3077,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1490,10586560,-----
992,"Ostroc OSR-4L","Civil War",3066,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1778,7069760,3.833333
4654,"Ostroc OSR-5C",Jihad,3082,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1788,13980160,-----
3390,"Ostroc OSR-5W",Jihad,3070,"Inner Sphere",Biped,"Tournament Legal (Extinct)",60,"Catalyst Game Labs",1655,13037760,-----
4635,"Ostscout IIC","Civil War",3063,"Clan (Mixed)",Biped,Advanced,35,"Catalyst Game Labs",520,30071610,-----
3976,"Ostscout OTT-10CS",Jihad,3071,"Inner Sphere",Biped,"Tournament Legal (Extinct)",35,"Catalyst Game Labs",862,9449100,-----
3384,"Ostscout OTT-11J",Jihad,3078,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",908,7512210,-----
190,"Ostscout OTT-7J","Star League",2600,"Inner Sphere",Biped,Introductory,35,"Catalyst Game Labs",596,3416760,2.843750
4367,"Ostscout OTT-7Jb","Star League",2600,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",610,3735900,-----
279,"Ostscout OTT-7K","Late Succession Wars",3049,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",484,3422700,1.227273
919,"Ostscout OTT-9CS","Civil War",3064,"Inner Sphere",Biped,"Tournament Legal (Extinct)",35,"Catalyst Game Labs",930,7929337,3.333333
920,"Ostscout OTT-9S","Civil War",3065,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",855,6050700,2.900000
113,"Ostsol OTL-4D","Star League",2694,"Inner Sphere",Biped,Introductory,60,"Catalyst Game Labs",1277,5032960,3.444444
114,"Ostsol OTL-4F","Early Succession Wars",2871,"Inner Sphere",Biped,Introductory,60,"Catalyst Game Labs",1264,5096960,3.214286
993,"Ostsol OTL-5D","Civil War",3065,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1307,5152960,2.333333
354,"Ostsol OTL-5M","Clan Invasion",3050,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1245,11455360,2.571429
